Common Name,Taxon Name,Taxon Level,GBIF Key
seahorses,Hippocampus,genus,8156547
butterflyfish,Chaetodontidae,family,8517
triggerfish,Balistidae,family,5899
cornetfish,Fistularia,genus,9720698
trumpetfish,Aulostomus,genus,2332594
banded rudderfish,Seriola zonata,species,2333605
flying gurnard,Dactylopterus volitans,species,5961719
bigeye,Priacanthus,genus,2375006
bigeye,Pristigenys,genus,2375065
bigeye,Heteropriacanthus,genus,2375044
pufferfish,Tetraodontidae,family,2219
moonfish,Selene setapinnis,species,2390733
butterfish,Peprilus triacanthus,species,2403896
mullets,Mugilidae,family,8473
snowy grouper,Hyporthodus niveatus,species,5788225
boxfish and cowfish,Ostraciidae,family,2220
filefish,Monacanthidae,family,5896
goatfishes,Mullidae,family,4287
damselfish,Pomacentridae,family,4499
jack/trevally,Caranx,genus,2390749
