"species","weighted_lat","q95_lat","coastal_overlap","n_cells","matched_name","warm_flag_am"
"Acanthurus chirurgus",22.0604678499006,31.5,0,701,NA,"tropical"
"Ariosoma anale",20.6144795550248,27,0,626,NA,"tropical"
"Balistes vetula",22.7456393939441,32.5,0,911,NA,"tropical"
"Bothus ocellatus",22.6888226824836,32.5,0,831,NA,"tropical"
"Cantherhines pullus",22.2898499583978,32,0,774,NA,"tropical"
"Carangoides bartholomaei",22.3639754685022,32.5,0,754,NA,"tropical"
"Caranx crysos",23.6626444800489,34.5,0,1002,NA,"tropical"
"Caranx hippos",23.9854752789347,36,0,1137,NA,"tropical"
"Chaetodon capistratus",20.5588421747537,27,0,622,NA,"tropical"
"Chaetodon ocellatus",21.9614840098821,30,0,688,NA,"tropical"
"Cheilopogon furcatus",26.207393117294,39.5,0,5722,NA,"southern_range_edge"
"Cheilopogon melanurus",22.1458634047192,32,0,758,NA,"tropical"
"Dactylopterus volitans",24.030688373924,37,0,1192,NA,"tropical"
"Decapterus macarellus",24.031354016939,34.5,0,1159,NA,"tropical"
"Decapterus punctatus",24.41633765205,38.5,0,996,NA,"southern_range_edge"
"Diodon holocanthus",22.8376771806458,33,0,993,NA,"tropical"
"Epinephelus morio",22.0119646567809,29.5,0,822,NA,"tropical"
"Fistularia tabacaria",23.8631586896328,36,0,1122,NA,"tropical"
"Halieutichthys aculeatus",24.6406321931302,32,0,767,NA,"tropical"
"Hemiramphus brasiliensis",22.0427360484697,31.5,0,624,NA,"tropical"
"Heteropriacanthus cruentatus",22.163013172739,30.5,0,860,NA,"tropical"
"Hippocampus erectus",24.2664606495322,38.5,0,919,NA,"southern_range_edge"
"Hirundichthys affinis",22.5952248287441,32,0,842,NA,"tropical"
"Hyporthodus niveatus",22.108283343168,31.5,0,893,NA,"tropical"
"Lactophrys trigonus",22.477378766826,32,0,771,NA,"tropical"
"Lobotes surinamensis",25.0409783625951,35,0,912,NA,"tropical"
"Lutjanus campechanus",23.1936719192585,33,0,881,NA,"tropical"
"Lutjanus cyanopterus",22.5585406627488,32.5,0,795,NA,"tropical"
"Megalops atlanticus",23.3829712429859,34.5,0,1114,NA,"tropical"
"Mugil cephalus",26.1900578585218,41,0,1432,NA,"possible_warm_water"
"Mugil curema",23.140560625194,33.5,0,1051,NA,"tropical"
