"speciesKey","kingdom","phylum","class","order","family","genus","species"
5209502,"Animalia","Chordata","","Perciformes","Zoarcidae","Melanostigma","Melanostigma atlanticum"
2389991,"Animalia","Chordata","","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus"
2337217,"Animalia","Chordata","","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides olrikii"
2385448,"Animalia","Chordata","","Perciformes","Chaetodontidae","Chaetodon","Chaetodon ocellatus"
2394241,"Animalia","Chordata","","Perciformes","Sphyraenidae","Sphyraena","Sphyraena borealis"
2336181,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti"
2390762,"Animalia","Chordata","","Perciformes","Carangidae","Caranx","Caranx crysos"
2375045,"Animalia","Chordata","","Perciformes","Priacanthidae","Heteropriacanthus","Heteropriacanthus cruentatus"
2375079,"Animalia","Chordata","","Perciformes","Priacanthidae","Pristigenys","Pristigenys alta"
2390778,"Animalia","Chordata","","Perciformes","Carangidae","Caranx","Caranx hippos"
5213455,"Animalia","Chordata","","Tetraodontiformes","Monacanthidae","Stephanolepis","Stephanolepis hispidus"
2392447,"Animalia","Chordata","","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops"
5712338,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Liparis","Liparis liparis"
2347496,"Animalia","Chordata","","Stomiiformes","Sternoptychidae","Maurolicus","Maurolicus weitzmani"
2406057,"Animalia","Chordata","","Myctophiformes","Myctophidae","Benthosema","Benthosema glaciale"
2417699,"Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","Tetronarce nobiliana"
8215487,"Animalia","Chordata","","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
2333780,"Animalia","Chordata","","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpioides"
2383615,"Animalia","Chordata","","Perciformes","Labridae","Tautoga","Tautoga onitis"
2408805,"Animalia","Chordata","","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga"
5201492,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Liparis","Liparis tunicatus"
2391041,"Animalia","Chordata","","Perciformes","Carangidae","Decapterus","Decapterus punctatus"
2407857,"Animalia","Chordata","","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus"
5208593,"Animalia","Chordata","","Perciformes","Scombridae","Sarda","Sarda sarda"
2392210,"Animalia","Chordata","","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus"
2415740,"Animalia","Chordata","","Gadiformes","Phycidae","Urophycis","Urophycis regia"
4286361,"Animalia","Chordata","","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus dactylopterus"
5201203,"Animalia","Chordata","","Scorpaeniformes","Cottidae","Icelus","Icelus bicornis"
5201557,"Animalia","Chordata","","Scorpaeniformes","Triglidae","Prionotus","Prionotus carolinus"
2387483,"Animalia","Chordata","","Perciformes","Serranidae","Centropristis","Centropristis striata"
2391007,"Animalia","Chordata","","Perciformes","Carangidae","Selar","Selar crumenophthalmus"
2391064,"Animalia","Chordata","","Perciformes","Carangidae","Decapterus","Decapterus macarellus"
2397850,"Animalia","Chordata","","Perciformes","Xiphiidae","Xiphias","Xiphias gladius"
2415583,"Animalia","Chordata","","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus ensis"
5212618,"Animalia","Chordata","","Aulopiformes","Synodontidae","Synodus","Synodus myops"
2333513,"Animalia","Chordata","","Syngnathiformes","Centriscidae","Macroramphosus","Macroramphosus scolopax"
2336182,"Animalia","Chordata","","Scorpaeniformes","Liparidae","Careproctus","Careproctus longipinnis"
2346868,"Animalia","Chordata","","Stomiiformes","Stomiidae","Stomias","Stomias boa"
2400641,"Animalia","Chordata","","Mugiliformes","Mugilidae","Mugil","Mugil curema"
5200941,"Animalia","Chordata","","Syngnathiformes","Fistulariidae","Fistularia","Fistularia tabacaria"
5788225,"Animalia","Chordata","","Perciformes","Serranidae","Hyporthodus","Hyporthodus niveatus"
8290461,"Animalia","Chordata","","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii"
2380587,"Animalia","Chordata","","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys paxillus"
2384865,"Animalia","Chordata","","Perciformes","Lutjanidae","Lutjanus","Lutjanus campechanus"
2396865,"Animalia","Chordata","","Perciformes","Mullidae","Mullus","Mullus auratus"
2398160,"Animalia","Chordata","","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe perciformis"
