"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Acanthurus chirurgus",49734,25.511133,25.727933,24.6522165,-80.552005,"tropical","Animalia","Chordata","","Perciformes","Acanthurus","Acanthuridae","rare",5209174
"Acipenser brevirostrum",143,45.583333,45.89246058,42.515127,-72.56933,"northern_species","Animalia","Chordata","","Acipenseriformes","Acipenser","Acipenseridae","rare",2402192
"Acipenser oxyrinchus",74241,47.14023,47.34657,46.83205,-71.19064,"northern_species","Animalia","Chordata","","Acipenseriformes","Acipenser","Acipenseridae","medium",4287132
"Acipenser sturio",279,72.69804,72.69804,58.77996,-77.97591,"northern_species","Animalia","Chordata","","Acipenseriformes","Acipenser","Acipenseridae","medium",2402203
"Alepisaurus ferox",202,43.6385519,44.2889908,32.7416665,-67.36585,"northern_species","Animalia","Chordata","","Aulopiformes","Alepisaurus","Alepisauridae","rare",2401692
"Alopias vulpinus",736,45.94913,46.2719,45.049517,-66.8518,"northern_species","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopias","Alopiidae","medium",2420797
"Alosa aestivalis",10958,45.881037,46.037533,41.7365,-70.401915,"northern_species","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","medium",2412708
"Alosa alabamae",580,45.07965435,45.08565,30.74,-85.1747225,"northern_species","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","medium",2412616
"Alosa alosa",125,45.08565,45.086517,44.942933,-67.095867,"northern_species","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","medium",2412685
"Alosa fallax",204,45.08638695,45.165722,44.941485,-66.841175,"northern_species","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","medium",2412623
"Alosa mediocris",595,41.5364119,43.62985144,38.775017,-76.363667,"possible_warm_water","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","rare",2412699
