"species"
"Acanthurus chirurgus"
"Aluterus heudelotii"
"Ariosoma anale"
"Balistes vetula"
"Bothus ocellatus"
"Brevoortia patronus"
"Cantherhines pullus"
"Carangoides bartholomaei"
"Caranx crysos"
"Caranx hippos"
"Chaetodon capistratus"
"Chaetodon ocellatus"
"Cheilopogon furcatus"
"Cheilopogon melanurus"
"Diodon holocanthus"
"Epinephelus morio"
"Halieutichthys aculeatus"
"Hemiramphus brasiliensis"
"Heteropriacanthus cruentatus"
"Hirundichthys affinis"
"Hyporhamphus meeki"
"Katsuwonus pelamis"
"Lactophrys trigonus"
"Lepophidium profundorum"
"Lobotes surinamensis"
"Lophogobius cyprinoides"
"Lutjanus campechanus"
"Lutjanus cyanopterus"
"Megalops atlanticus"
"Mugil curema"
"Mullus auratus"
"Nomeus gronovii"
"Pogonias cromis"
"Priacanthus arenatus"
"Pristipomoides aquilonaris"
"Pseudupeneus maculatus"
"Rhizoprionodon terraenovae"
"Scomber japonicus"
"Selene vomer"
"Seriola dumerili"
"Sphoeroides spengleri"
"Stegastes partitus"
"Thunnus atlanticus"
"Trachinotus falcatus"
"Upeneus parvus"
